Repo Name,Star Count,Epic Issue Count,Total Issue Count,Fork Count,Watcher Count,Created At,Updated At,Primary Language
OneCart,1,4,5,0,2,2023-11-16T21:50:54Z,2023-11-17T22:06:20Z,TypeScript
codeforlife-admin,0,17,925,0,4,2019-06-05T16:49:41Z,2021-02-12T11:51:17Z,
github-fundamentals-liebherr,1,8,62,0,0,2023-11-27T07:40:21Z,2023-11-27T09:52:28Z,
OlympiadProgrammingTgBot,0,4,10,0,1,2023-11-21T14:42:37Z,2023-11-21T17:08:34Z,Python
wowfinder,1,18,198,1,1,2020-06-11T20:52:31Z,2023-01-31T18:16:50Z,TypeScript
DevSecOps_Project,0,1,16,0,0,2023-10-23T08:21:12Z,2023-11-27T12:59:32Z,JavaScript
platform-forms-client,22,15,1149,11,24,2020-11-24T17:39:04Z,2023-11-08T18:50:33Z,TypeScript
fecfile-project-management,2,1,62,0,6,2021-10-14T19:56:58Z,2022-01-19T18:14:59Z,
doc-arbejdsgangsbeskrivelser,0,19,77,1,0,2023-01-23T12:48:47Z,2023-10-27T12:04:30Z,
hoprnet,195,65,1867,89,14,2020-08-10T11:57:55Z,2023-11-25T04:39:41Z,Rust
lisk-service,31,3,951,15,14,2020-04-07T14:22:36Z,2023-10-01T04:58:21Z,JavaScript
entity,21,330,18483,56,21,2018-11-17T00:36:48Z,2023-11-27T17:24:10Z,JavaScript
altinn-studio,98,57,5449,65,33,2018-06-11T10:32:39Z,2023-11-07T13:55:33Z,TypeScript
Strategy_game,1,5,139,2,2,2023-09-06T10:27:09Z,2023-10-11T05:44:24Z,Python
issues,2,35,443,0,7,2021-02-12T14:32:05Z,2023-08-02T09:35:30Z,
ClientJava,0,1,7,1,0,2023-11-01T09:49:11Z,2023-11-13T07:40:36Z,
epics,0,71,80,0,5,2022-09-09T19:31:56Z,2022-09-09T19:31:56Z,
decide-part-pacodelucia,11,11,53,2,1,2023-10-16T13:40:20Z,2023-11-13T11:55:35Z,Python
